Region,Seed,Team,R1_Win%,R2_Win%,S16_Win%,E8_Win%,F4_Win%,Champ%,Blowout%,Hautlist,Avg_400K,Min_400K,Max_400K,Avg_450K,Min_450K,Max_450K,Avg_500K,Min_500K,Max_500K,Avg_550K,Min_550K,Max_550K,Avg_600K,Min_600K,Max_600K,Avg_650K,Min_650K,Max_650K,Avg_700K,Min_700K,Max_700K,Avg_750K,Min_750K,Max_750K,Avg_800K,Min_800K,Max_800K,KenPom_600K,Massey_600K,BPI_600K,538_600K
South,1,Florida,99.4,80.7,56.7,31.3,16.5,8.4,0.0,,23982,22005,25982,26980,24756,29230,29978,27507,32478,32975,30257,35725,35973,33008,38973,38971,35759,42221,41968,38509,45468,44966,41260,48716,47964,44011,51964,34053,33008,36231,38973
South,2,Houston,97.2,77.2,48.6,29.1,15.1,7.7,0.1,,22079,19982,24779,24839,22480,27876,27599,24978,30973,30359,27475,34071,33119,29973,37168,35879,32471,40265,38639,34968,43363,41399,37466,46460,44159,39964,49557,29973,31973,37168,31932
South,3,Illinois,96.6,76.6,37.4,19.7,9.4,4.3,0.1,Y,17115,15284,18267,19254,17194,20551,21393,19105,22834,23533,21016,25118,25672,22926,27401,27811,24836,29684,29951,26747,31968,32090,28658,34251,34229,30568,36535,27401,22926,26473,25547
South,4,Nebraska,90.9,49.9,17.2,6.1,2.0,0.7,0.3,,8631,7707,9322,9710,8671,10487,10789,9634,11652,11868,10598,12818,12947,11561,13983,14026,12524,15148,15105,13488,16314,16184,14451,17479,17263,15415,18644,13659,12759,13983,11561
South,5,Vanderbilt,81.9,44.5,17.2,6.8,2.6,1.0,0.6,Y,8441,7086,9323,9496,7972,10489,10551,8858,11654,11606,9743,12820,12661,10629,13985,13716,11515,15150,14771,12400,16316,15826,13286,17481,16881,14172,18647,13528,12858,10629,13985
South,6,North Carolina,58.3,14.8,4.3,1.4,0.5,0.1,1.3,,3354,2423,5441,3773,2726,6121,4192,3029,6801,4612,3332,7481,5031,3635,8161,5450,3938,8841,5870,4241,9521,6289,4544,10201,6708,4847,10881,5072,8161,4314,3635
South,7,Saint Mary's,55.8,13.6,5.0,1.7,0.5,0.1,1.4,,3350,2422,3954,3769,2725,4448,4188,3028,4942,4606,3330,5437,5025,3633,5931,5444,3936,6425,5862,4238,6920,6281,4541,7414,6700,4844,7908,5931,5656,3633,5393
South,8,Clemson,45.3,8.1,3.2,0.9,0.3,0.1,1.7,,2376,1809,3396,2673,2035,3820,2970,2261,4245,3267,2487,4670,3564,2713,5094,3861,2939,5518,4158,3165,5943,4455,3391,6368,4752,3617,6792,3261,5094,3596,2713
South,9,Iowa,54.7,11.2,4.9,1.5,0.5,0.1,1.4,,3158,2338,4090,3553,2630,4601,3948,2922,5112,4342,3215,5624,4737,3507,6135,5132,3799,6646,5526,4092,7158,5921,4384,7669,6316,4676,8180,5313,6135,3507,4652
South,10,Texas A&M,44.2,8.9,3.0,0.9,0.3,0.1,1.7,,2375,1984,3483,2672,2232,3918,2969,2480,4353,3266,2728,4789,3563,2976,5224,3860,3224,5659,4157,3472,6095,4454,3720,6530,4751,3968,6965,2976,5224,3071,3339
South,11,VCU,41.7,8.1,1.7,0.4,0.1,0.0,1.8,,1988,1591,2369,2236,1790,2666,2485,1988,2962,2734,2187,3258,2982,2386,3554,3230,2585,3850,3479,2784,4146,3728,2982,4442,3976,3181,4739,2984,3017,2386,3554
South,12,McNeese,18.1,4.4,0.6,0.1,0.0,0.0,2.6,,946,897,1094,1064,1009,1231,1182,1121,1368,1301,1233,1504,1419,1345,1641,1537,1457,1778,1656,1569,1915,1774,1681,2051,1892,1793,2188,1395,1641,1361,1345
South,13-16,"Troy, Penn, Idaho",15.9,2.0,0.1,0.0,0.0,0.0,12.0,,1067,895,1501,1201,1007,1689,1334,1119,1877,1468,1231,2064,1601,1343,2252,1734,1455,2440,1868,1567,2627,2001,1679,2815,2135,1791,3003,1435,2252,1356,1523
